project_name,class_name,num_lines,num_statements,num_branches
1_tullibee,com.ib.client.ExecutionFilter,20,97,20
1_tullibee,com.ib.client.ComboLeg,23,106,21
10_water-simulator,simulator.CA.gui.ConsumerGUI,163,888,59
10_water-simulator,simulator.CA.ConsumerAgent,301,1436,137
100_jgaap,jgaapGUI,237,1245,23
101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo,70,320,73
101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias,56,249,69
102_squirrel-sql,net.sourceforge.squirrel_sql.client.preferences.GlobalPreferencesSheet,149,677,51
102_squirrel-sql,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,31,130,21
103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController,928,3368,618
103_sweethome3d,com.eteks.sweethome3d.viewcontroller.RoomController,283,936,154
103_sweethome3d,com.eteks.sweethome3d.SweetHome3D,374,841,228
103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D,360,2509,353
104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer,154,657,119
104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener,196,675,134
105_freemind,freemind.extensions.ExportHook,76,434,29
105_freemind,accessories.plugins.time.JDayChooser,400,1621,208
107_weka,weka.core.Memory,48,274,29
107_weka,weka.classifiers.Evaluation,1378,7809,809
107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm,188,1265,267
107_weka,weka.core.FindWithCapabilities,387,1745,247
108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,81,406,93
108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper,128,462,78
109_pdfsam,jcmdline.HelpCmdLineHandler,56,378,41
109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,50,238,17
11_imsmart,com.imsmart.servlet.HTMLFilter,18,69,15
110_firebird,org.firebirdsql.gds.impl.wire.AbstractJavaGDSImpl,1717,6591,1040
110_firebird,org.firebirdsql.jdbc.FBProcedureCall,117,581,98
110_firebird,org.firebirdsql.encodings.EncodingFactory,242,922,195
12_dsachat,dsachat.server.Handler,186,904,98
12_dsachat,dsachat.client.gui.InternalChatFrame,189,857,69
13_jdbacl,org.databene.jdbacl.SQLUtil,251,1339,188
13_jdbacl,org.databene.jdbacl.DBUtil,324,1611,197
14_omjstate,uk.me.jockmacmad.jstate.state.Transition,36,139,30
15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,61,355,47
15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,52,242,41
17_inspirento,com.allenstudio.ir.util.XmlElement,156,649,95
17_inspirento,com.allenstudio.ir.ui.MainMenu,54,327,27
18_jsecurity,org.jsecurity.web.filter.authc.BasicHttpAuthenticationFilter,51,207,36
18_jsecurity,org.jsecurity.web.DefaultWebSecurityManager,97,400,67
18_jsecurity,org.jsecurity.util.AntPathMatcher,172,725,170
19_jmca,com.soops.CEN4010.JMCA.JParser.JavaCharStream,239,1279,216
19_jmca,com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager,981,4678,1707
19_jmca,com.soops.CEN4010.JMCA.JParser.JavaParser,4940,16624,7938
19_jmca,com.soops.CEN4010.JMCA.JMCAAnalyzer,222,966,199
2_a4j,net.kencochrane.a4j.DAO.Product,62,231,31
2_a4j,net.kencochrane.a4j.file.FileUtil,357,2038,125
21_geo-google,geo.google.datamodel.GeoStatusCode,18,44,23
21_geo-google,geo.google.mapping.AddressToUsAddressFunctor,37,147,30
22_byuic,com.yahoo.platform.yui.compressor.ScriptOrFnScope,79,296,39
22_byuic,com.yahoo.platform.yui.compressor.YUICompressor,127,529,87
22_byuic,com.yahoo.platform.yui.compressor.JavaScriptCompressor,475,2481,561
22_byuic,org.mozilla.javascript.Parser,1211,4820,735
23_jwbf,net.sourceforge.jwbf.mediawiki.actions.editing.MovePage,64,399,52
23_jwbf,net.sourceforge.jwbf.mediawiki.actions.queries.TemplateUserTitles,39,225,45
24_saxpath,org.saxpath.Axis,43,115,55
24_saxpath,com.werken.saxpath.XPathLexer,250,1034,484
26_jipa,jipa.Main,161,783,134
26_jipa,jipa.Variable,37,124,23
27_gangup,gui.AudioManager,89,438,32
29_apbsmem,apbs_mem_gui.Main,815,4323,388
29_apbsmem,jahuwaldt.plot.PlotAxis,88,283,41
30_bpmail,ch.bluepenguin.email.client.tapestry.MessageList,44,215,27
31_xisemele,net.sf.xisemele.impl.OperationsHelperImpl,31,152,27
32_httpanalyzer,httpanalyzer.HttpAnalyzerView,960,4992,200
32_httpanalyzer,httpanalyzer.Password,120,656,56
33_javaviewcontrol,com.pmdesigns.jvc.tools.TokenMgrError,35,179,32
33_javaviewcontrol,com.pmdesigns.jvc.tools.JVCParser,355,1772,223
33_javaviewcontrol,com.pmdesigns.jvc.tools.JVCParserTokenManager,1350,7180,2380
35_corina,corina.formats.TucsonSimple,55,282,55
36_schemaspy,net.sourceforge.schemaspy.model.xml.TableMeta,27,140,17
36_schemaspy,net.sourceforge.schemaspy.model.Table,438,2241,380
37_petsoar,org.petsoar.order.CreditCardInfo,14,61,16
37_petsoar,org.petsoar.search.lucene.DefaultLuceneDocumentFactory,94,303,47
38_javabullboard,framework.util.StringUtils,148,715,98
38_javabullboard,framework.util.jdbc.JDBCUtils,214,1170,141
39_diffi,de.beiri22.stringincrementor.helper.IndexedString,30,152,20
39_diffi,de.beiri22.stringincrementor.StringIncrementor,57,344,35
4_rif,com.densebrain.rif.server.transport.WebServiceDescriptor,31,94,21
40_glengineer,glengineer.blocks.Block,42,325,23
40_glengineer,glengineer.agents.GroupAgent,157,658,115
41_follow,ghm.follow.gui.TabbedPane,31,108,20
41_follow,ghm.follow.search.SearchableTextPane,81,321,35
42_asphodel,org.asphodel.DefaultRepositoryManager,73,353,42
43_lilith,de.huxhorn.lilith.data.access.AccessEvent,86,496,134
44_summa,org.apache.lucene.search.exposed.compare.NamedCollatorComparator,42,185,30
44_summa,org.apache.lucene.search.exposed.ExposedTimSort,376,1906,372
44_summa,dk.statsbiblioteket.summa.storage.database.StatementHandler,84,682,108
44_summa,dk.statsbiblioteket.summa.support.harmonise.InteractionAdjuster,373,2114,279
45_lotus,lotus.core.phases.Phase,21,125,28
45_lotus,lotus.core.Game,30,122,24
46_nutzenportfolio,ch.bfh.egov.nutzenportfolio.common.AuswertungGrafik,97,817,21
46_nutzenportfolio,ch.bfh.egov.nutzenportfolio.service.fragebogen.NaOpNuDaoService,174,895,48
47_dvd-homevideo,Capture,148,947,29
47_dvd-homevideo,Convert,223,1386,52
47_dvd-homevideo,Menu,185,1231,84
