project,class
jsci,JSci.maths.LinearMath
guava,com.google.common.base.Objects
compiler,com.google.javascript.jscomp.ReferenceCollectingCallback
compiler,com.google.javascript.jscomp.ScopedAliases
commons-math,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.AbstractSimplex
61_noen,fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation
109_pdfsam,jcmdline.HelpCmdLineHandler
44_summa,dk.statsbiblioteket.summa.storage.database.StatementHandler
95_celwars2009,Client
81_javathena,org.javathena.utiles.ConfigurationManagement
99_newzgrabber,Newzgrabber.Downloader
22_byuic,com.yahoo.platform.yui.compressor.YUICompressor
javaml,net.sf.javaml.core.SparseInstance
93_quickserver,org.quickserver.net.client.monitoring.HostMonitoringService
80_wheelwebtool,wheel.util.DynamicSelectModel
19_jmca,com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager
29_apbsmem,apbs_mem_gui.Main
54_db-everywhere,com.gbshape.dbe.sapdb.SapdbTableList
107_weka,weka.core.Memory
43_lilith,de.huxhorn.lilith.data.access.AccessEvent
commons-cli,org.apache.commons.cli.Option
commons-math,org.apache.commons.math3.dfp.DfpDec
22_byuic,com.yahoo.platform.yui.compressor.JavaScriptCompressor
65_gsftp,com.gotoservers.ftp.FtpApplet
trove,gnu.trove.impl.hash.TCharHash
2_a4j,net.kencochrane.a4j.file.FileUtil
commons-math,org.apache.commons.math3.util.MathUtils
18_jsecurity,org.jsecurity.web.DefaultWebSecurityManager
105_freemind,freemind.extensions.ExportHook
73_fim1,osa.ora.server.admin.ui.UpdateUserPanel
91_classviewer,com.jstevh.viewer.SAXDirParser
5_templateit,org.templateit.WorkbookParser
xmlenc,org.znerd.xmlenc.XMLChecker
41_follow,ghm.follow.search.SearchableTextPane
