project,class
1_tullibee,com.ib.client.ExecutionFilter
1_tullibee,com.ib.client.ComboLeg
10_water-simulator,simulator.CA.gui.ConsumerGUI
10_water-simulator,simulator.CA.ConsumerAgent
100_jgaap,jgaapGUI
101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.HeapInfo
101_netweaver,com.sap.managementconsole.soap.axis.sapcontrol.J2EEApplicationAlias
102_squirrel-sql,net.sourceforge.squirrel_sql.client.preferences.GlobalPreferencesSheet
102_squirrel-sql,net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner
103_sweethome3d,com.eteks.sweethome3d.viewcontroller.HomeController
103_sweethome3d,com.eteks.sweethome3d.viewcontroller.RoomController
103_sweethome3d,com.eteks.sweethome3d.SweetHome3D
103_sweethome3d,com.eteks.sweethome3d.j3d.Room3D
104_vuze,com.aelitis.azureus.ui.swt.skin.SWTSkinObjectContainer
104_vuze,com.aelitis.azureus.ui.swt.feature.FeatureManagerUIListener
105_freemind,freemind.extensions.ExportHook
105_freemind,accessories.plugins.time.JDayChooser
107_weka,weka.core.Memory
107_weka,weka.classifiers.Evaluation
107_weka,weka.classifiers.bayes.net.search.ci.ICSSearchAlgorithm
107_weka,weka.core.FindWithCapabilities
108_liferay,com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping
108_liferay,com.liferay.portlet.documentlibrary.model.DLSyncWrapper
109_pdfsam,jcmdline.HelpCmdLineHandler
109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable
11_imsmart,com.imsmart.servlet.HTMLFilter
110_firebird,org.firebirdsql.gds.impl.wire.AbstractJavaGDSImpl
110_firebird,org.firebirdsql.jdbc.FBProcedureCall
110_firebird,org.firebirdsql.encodings.EncodingFactory
12_dsachat,dsachat.server.Handler
12_dsachat,dsachat.client.gui.InternalChatFrame
13_jdbacl,org.databene.jdbacl.SQLUtil
13_jdbacl,org.databene.jdbacl.DBUtil
14_omjstate,uk.me.jockmacmad.jstate.state.Transition
15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria
15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch
17_inspirento,com.allenstudio.ir.util.XmlElement
17_inspirento,com.allenstudio.ir.ui.MainMenu
18_jsecurity,org.jsecurity.web.filter.authc.BasicHttpAuthenticationFilter
18_jsecurity,org.jsecurity.web.DefaultWebSecurityManager
18_jsecurity,org.jsecurity.util.AntPathMatcher
19_jmca,com.soops.CEN4010.JMCA.JParser.JavaCharStream
19_jmca,com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager
19_jmca,com.soops.CEN4010.JMCA.JParser.JavaParser
19_jmca,com.soops.CEN4010.JMCA.JMCAAnalyzer
2_a4j,net.kencochrane.a4j.DAO.Product
2_a4j,net.kencochrane.a4j.file.FileUtil
21_geo-google,geo.google.datamodel.GeoStatusCode
21_geo-google,geo.google.mapping.AddressToUsAddressFunctor
22_byuic,com.yahoo.platform.yui.compressor.ScriptOrFnScope
22_byuic,com.yahoo.platform.yui.compressor.YUICompressor
22_byuic,com.yahoo.platform.yui.compressor.JavaScriptCompressor
22_byuic,org.mozilla.javascript.Parser
23_jwbf,net.sourceforge.jwbf.mediawiki.actions.editing.MovePage
23_jwbf,net.sourceforge.jwbf.mediawiki.actions.queries.TemplateUserTitles
24_saxpath,org.saxpath.Axis
24_saxpath,com.werken.saxpath.XPathLexer
26_jipa,jipa.Main
26_jipa,jipa.Variable
27_gangup,gui.AudioManager
29_apbsmem,apbs_mem_gui.Main
29_apbsmem,jahuwaldt.plot.PlotAxis
30_bpmail,ch.bluepenguin.email.client.tapestry.MessageList
31_xisemele,net.sf.xisemele.impl.OperationsHelperImpl
32_httpanalyzer,httpanalyzer.HttpAnalyzerView
32_httpanalyzer,httpanalyzer.Password
33_javaviewcontrol,com.pmdesigns.jvc.tools.TokenMgrError
33_javaviewcontrol,com.pmdesigns.jvc.tools.JVCParser
33_javaviewcontrol,com.pmdesigns.jvc.tools.JVCParserTokenManager
35_corina,corina.formats.TucsonSimple
36_schemaspy,net.sourceforge.schemaspy.model.xml.TableMeta
36_schemaspy,net.sourceforge.schemaspy.model.Table
37_petsoar,org.petsoar.order.CreditCardInfo
37_petsoar,org.petsoar.search.lucene.DefaultLuceneDocumentFactory
38_javabullboard,framework.util.StringUtils
38_javabullboard,framework.util.jdbc.JDBCUtils
39_diffi,de.beiri22.stringincrementor.helper.IndexedString
39_diffi,de.beiri22.stringincrementor.StringIncrementor
4_rif,com.densebrain.rif.server.transport.WebServiceDescriptor
40_glengineer,glengineer.blocks.Block
40_glengineer,glengineer.agents.GroupAgent
41_follow,ghm.follow.gui.TabbedPane
41_follow,ghm.follow.search.SearchableTextPane
42_asphodel,org.asphodel.DefaultRepositoryManager
43_lilith,de.huxhorn.lilith.data.access.AccessEvent
44_summa,org.apache.lucene.search.exposed.compare.NamedCollatorComparator
44_summa,org.apache.lucene.search.exposed.ExposedTimSort
44_summa,dk.statsbiblioteket.summa.storage.database.StatementHandler
44_summa,dk.statsbiblioteket.summa.support.harmonise.InteractionAdjuster
45_lotus,lotus.core.phases.Phase
45_lotus,lotus.core.Game
46_nutzenportfolio,ch.bfh.egov.nutzenportfolio.common.AuswertungGrafik
46_nutzenportfolio,ch.bfh.egov.nutzenportfolio.service.fragebogen.NaOpNuDaoService
47_dvd-homevideo,Capture
47_dvd-homevideo,Convert
47_dvd-homevideo,Menu
48_resources4j,com.mytdev.resources4j.impl.AbstractResources
49_diebierse,bierse.model.Drink
49_diebierse,bierse.controller.DefaultSettingsController
5_templateit,org.templateit.Region
5_templateit,org.templateit.WorkbookParser
50_biff,Scanner
